anyway,とにかく
following,に続いて
refer,参照して
avallable,入手可能
department,部
conference,会議
according to,によると
likely,おそらく
offer,申し出て
equipment,機器

provide,提供して
local,地元の
purchase,購入する
opening,空き
construction,建設
tour,見学
research,調査
attend,出席
delivery,配達
recently,最近

indicate,示されて
employee,従業員
additional,追加の
survey,アンケート調査
review,目を通す
production,生産
located,場所にある
detail,詳細
announce,発表する
repair,修理

increse,増加
include,含まれて
currently,現在
advertising,広告
charge,請求します
expect,予定
firm,会社
client,顧客
financial,お金の
annual,年次

payment,支払い
budget,予算
applicarion,応募書類
contract,契約
management,経営
performance,成績
pleased,満足して
confirm,確認する
award,授賞
clothing,衣料品

display,展示する
candidate,候補者
state,述べる
exhibit,展示物
session,時間
note,注意する
process,処理する
instruction,説明書
membership,会員
agency,代理店

based,拠点を置く
facility,施設
advance,事前の
committee,委員会
successful,成功した
excellent,素晴らしい
industry,業界
fee,料金
accept,受け入れる
upcoming,今度の

latest,最新の
submit,提出する
transportation,交通機関
résumé,履歴書
executive,重役
introduce,導入する
previous,以前の
proposal,提案
supply,用品
enclose,同封する

policy,規定
register,登録する
arrange,手配する
bill,請求書
hire,雇う
approve,承認する
conduct,行う
opportunity,機会
deadline,締め切り
corporate,企業の

warranty,保証
necessary,必要な
reserve,予約する
resident,住民
create,作り出す
inform,知らせる
allow,可能にする
mention,述べる
appreciate,感謝する
replacement,交換
//101
update,最新情報
branch,支店
paid,有給の
unfortunately,残念ながら
original,元の
rent,家賃
memo,社内文書
luggage,旅行かばん
editor,編集者
exhibition,展示会

leading,トップの
organization,組織
release,発売する
limited,限定の
procedure,手続き
experienced,経験豊かな
personnel,社員
author,著者
benefit,福利厚生
focus,集中する

participate,参加する
cause,原因
degree,学位
directly,直接
host,司会者
expert,専門家
impress,感心させる
mainly,主に
suggestion,提案
supplier,納入業者

document,書類
remind,再確認する
require,求める
representative,担当者
packaging,梱包
description,説明
property,不動産
extension,内線
inquire,問い合わせる
merchandise,商品

highly,非常に
result,結果
assistance,支援
encourage,奨励する
individual,個人
laboratory,研究所
consider,検討する
headquarters,本社
ship,出荷する
commercial,商業の

device,機器
intended,向けられた
brochure,パンフレット
mail,郵便
prefer,好む
response,返答
region,地域
donation,寄付
quarter,四半期
agreement,契約書

journal,専門誌
distribute,配布する
potential,見込みがある
reschedule,予定変更する
renew,更新する
warehouse,倉庫
refund,返金
advise,勧める
immediately,すぐに
council,議会

broadcast,放送する
responsible,担当して
avoid,避ける
effective,効果的な
invitation,招待状
reduce,（値段を）下げる
vehicle,乗り物
efficient,効率的な
manufacturer,メーカー
comfortable,快適な

correct,正しい
downtown,中心街
method,方法
entire,全体の
range,範囲
setting,環境
apologize,おわびする
frequent,頻繁な
promotion,昇進
regarding,に関して

temporary,臨時
traditional,伝統的な
admission,入場
fit,入る
reference,照会先
status,状況
fuel,燃料
nearly,近く
cafeteria,社員食堂
determine,決定する
//200
expense,経費
overseas,海外
satisfied,満足した
appear,掲載される
develop,作り出す
improve,改善する
reasonable,手ごろな
unable,できない
delay,遅れる
legal,法律に関する

regulation,規制
expand,拡大する
launch,発売
recommendation,推薦
direct,向ける
profit,利益
seek,募集する
entry,エントリー作品
claim,申し立て
crew,班

demand,需要
figure,数字
raise,集める
attach,添付する
attract,引き付ける
insurance,保険
departure,出発
mayor,町長
balance,残高
estimate,見積もり

district,地区
former,かつての
modern,近代的な
tip,コツ
establish,設立する
option,選択肢
retire,退職する
search,探す
specific,具体的な
agricultural,農業の

historical,歴史上の
helpful,役に立つ
complaint,苦情
related,関連
simply,単純に
unique,独自の
concerning,関して
reputation,評判
ability,能力
arrival,到着

familiar,よく知っている
ideal,理想的な
maintain,維持する
landscaping,造園
organize,取りまとめる
significant,かなりの
occasion,行事
standard,基準
background,経歴，背景
guided,ガイド付きの

advanced,先端の
alternative,代わりの
confident,自信がある
decade,10年間
initial,最初の
separate,分ける
celebration,お祝い
concern,懸念
environment,環境
operate,操作する

various,さまざまな
brief,短い
full-time,常勤の
overall,全体の
achieve,達成する
basis,基礎
complex,複合施設
delighted,喜んでいる
obtain,得る
honor,称える

properly,きちんと
suitable,適した
electronic,電子
finalize,取りまとめる
generous,寛大な
preparation,準備
duty,任務
earn,得る
willing,意思がある
worth,価値がある

fund,資金提供する
overnight,翌日の
particularly,特に
aspect,面
hesitate,遠慮する
involved,関わって
regularly,定期的に
scholarship,奨学金
shortly,まもなく
automobile,自動車
//300
deposit,保証金
contain,含む
content,内容
proof,証明
affect,影響する
recognize,認める
represent,代表する
transfer,転勤する
anniversary,記念日
automatically,自動的に

capacity,能力，役割
destination,目的地
grant,補助金
publish,出版する
accompany,付いてくる
economic,経済の
extremely,非常に
institution,機関
accurate,正確な
compete,競う

emphasize,強調する
aware,気付いている
crowded,混雑している
praise,褒める
valuable,貴重な
explore,探る
found,設立する
function,機能
impact,影響
amazing,驚くべき

assure,保証する
cooperation,協力
popularity,人気
permit,許可証
solve,解決する
vote,投票する
crop,作物
neighborhood,近所
permanent,常設の
regret,残念に思う

slightly,わずかに
complicated,複雑な
factor,要因
favorable,好意的な
guarantee,保証する
mechanical,機械の
priority,優先順位
relatively,比較的
resource,資源
shuttle,送迎バス

divide,分ける
native,出身の
afford,余裕がある
income,収入
occur,発生する
saving,値引き
findings,調査結果
locate,見つける
postpone,延期する
preserve,保存する

prove,証明する
exact,正確な
gain,得る
labor,労働
regard,見なす
closely,密接に
deserve,値する
identify,特定する
loyal,常連の
promising,有望な

stress,強調する
analyze,分析する
commission,委託する
committed,熱心に取り組む
comparison,比較
component,部品
enable,可能にする
enjoyable,楽しい
existing,従来の
flyer,チラシ

proceed,進む
prevent,妨げる
alike,同様に
appoint,任命する
connection,接続
eager,熱望して
ease,容易さ
fairly,かなり
absolutely,完全に
atmosphere,雰囲気

calculate,計算する
contrast,対照
monitor,監視する
occasionally,時々
practical,実務の
serious,重大な
strength,強度
equally,同じくらいに
import,輸入品
informal,非公式の